"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent","religion"
"Thailand",34.2,30.2,69.9,0.5,66,37,7722,6.6,74.3,530.6,103,"East Asia and the Pacific","Buddhism"
"Maldives",24.6,18.8,0.3,1.3,64,10.2,7478,5.8,77.1,2.5,104,"East Asia and the Pacific","Islam"
"Suriname",27.6,25.7,0.5,0.9,94,34.9,7327,7.2,70.8,3.7,105,"Latin America and the Caribbean","Christianity"
"Gabon",21.6,19.3,1.6,1.9,105,81,12521,7.5,63.1,21.5,106,"Sub-Saharan Africa","Christianity"
"El Salvador",23.2,20.7,6.3,0.6,82,76.2,5915,7.5,72.4,37.6,107,"Latin America and the Caribbean","Christianity"
"Bolivia (Plurinational State of)",21.7,20,10.2,1.6,97,74.7,4444,9.2,66.9,45.4,108,"Latin America and the Caribbean","Christianity"
"Mongolia",25.4,21.8,2.8,1.5,56,18.7,4245,8.3,68.8,11.7,109,"East Asia and the Pacific","Buddhism"
"Occupied Palestinian Territory",18.1,16.2,4.3,2.8,NA,48.3,3359,8,73,NA,110,"Arab States","Islam"
"Paraguay",23.1,20.4,6.7,1.7,95,66.7,4497,7.7,72.7,31.2,111,"Latin America and the Caribbean","Christianity"
"Egypt",24.4,21.4,84,1.7,126,40.6,5401,6.4,73.5,457.8,112,"Arab States","Islam"
"Moldova (Republic of)",35.2,32.3,3.5,-0.7,49,29.1,3319,9.7,69.6,10.6,113,"Europe and Central Asia","Christianity"
"Philippines",22.2,20.4,96.5,1.7,77,46.5,3752,8.9,69,344.4,114,"East Asia and the Pacific","Christianity"
"Uzbekistan",24.2,20.9,28.1,1.1,NA,12.8,3201,10,68.6,85.2,115,"Europe and Central Asia","Islam"
"Syrian Arab Republic",21.1,19.1,21.1,1.7,118,36.5,4674,5.7,76,96.9,116,"Arab States","Islam"
"Micronesia (Federated States of)",20.8,18.9,0.1,0.5,NA,18.5,3352,8.8,69.2,0.3,117,"East Asia and the Pacific","Christianity"
"Guyana",23.8,23,0.8,0.2,104,53.9,3387,8.5,70.2,2.3,118,"Latin America and the Caribbean","Christianity"
"Botswana",22.9,20,2.1,1.1,102,43.8,13102,8.9,53,26.3,119,"Sub-Saharan Africa","Christianity"
"Honduras",21,18.4,7.9,2,100,85.9,3426,6.5,73.4,27.7,120,"Latin America and the Caribbean","Christianity"
"Indonesia",27.8,24.4,244.8,1,106,42.3,4154,5.8,69.8,992.1,121,"East Asia and the Pacific","Islam"
"Kiribati",NA,NA,0.1,1.5,NA,16.4,3079,7.8,68.4,0.2,122,"East Asia and the Pacific","Christianity"
"South Africa",24.9,22.9,50.7,0.5,90,50.4,9594,8.5,53.4,489.6,123,"Sub-Saharan Africa","Christianity"
"Vanuatu",20.6,18.9,0.3,2.4,NA,50.6,3960,6.7,71.3,1,124,"East Asia and the Pacific","Christianity"
"Kyrgyzstan",23.8,22.5,5.4,1.1,64,33,2009,9.3,68,11.7,125,"East Asia and the Pacific","Islam"
"Tajikistan",20.4,18.5,7.1,1.5,57,25.7,2119,9.8,67.8,14.3,126,"East Asia and the Pacific","Islam"
"Viet Nam",28.2,23.8,89.7,1,48,22.7,2970,5.5,75.4,264.6,127,"East Asia and the Pacific","Buddhism"
"Namibia",21.2,19.5,2.4,1.7,86,54.4,5973,6.2,62.6,13.9,128,"Sub-Saharan Africa","Christianity"
"Nicaragua",22.1,18.9,6,1.4,89,104.9,2551,5.8,74.3,15.1,129,"Latin America and the Caribbean","Christianity"
"Morocco",26.3,22.6,32.6,1,84,10.8,4384,4.4,72.4,143.5,130,"Arab States","Islam"
"Iraq",18.3,18,33.7,3.1,120,85.9,3557,5.6,69.6,112.5,131,"Arab States","Islam"
"Cape Verde",22.8,18.5,0.5,0.9,NA,69.2,3609,3.5,74.3,1.8,132,"Sub-Saharan Africa","Christianity"
"Guatemala",18.9,17.7,15.1,2.5,114,102.4,4235,4.1,71.4,64.2,133,"Latin America and the Caribbean","Christianity"
"Timor-Leste",16.6,15.3,1.2,2.9,NA,52.3,5446,4.4,62.9,1.6,134,"East Asia and the Pacific","Christianity"
"Ghana",20.5,19.1,25.5,2.3,121,62.4,1684,7,64.6,41.3,135,"Sub-Saharan Africa","Christianity"
"Equatorial Guinea",20.3,19.5,0.7,2.7,NA,114.6,21715,5.4,51.4,23.1,136,"Sub-Saharan Africa","Christianity"
"India",25.1,22.7,1258.4,1.3,132,74.7,3285,4.4,65.8,3976.5,137,"East Asia and the Pacific","Hinduism"
"Cambodia",22.9,18.1,14.5,1.2,96,32.9,2095,5.8,63.6,29.8,138,"East Asia and the Pacific","Buddhism"
"Lao People's Democratic Republic",21.5,18.6,6.4,1.3,100,30.1,2435,4.6,67.8,15.5,139,"East Asia and the Pacific","Buddhism"
"Bhutan",24.6,19.4,0.8,1.5,92,44.9,5246,2.3,67.6,3.8,140,"East Asia and the Pacific","Buddhism"
"Swaziland",19.5,17.2,1.2,1.4,112,67.9,5104,7.1,48.9,5.7,141,"Sub-Saharan Africa","Christianity"
"Congo",19.6,18.9,4.2,2.2,132,112.6,2934,5.9,57.8,16.1,142,"Sub-Saharan Africa","Christianity"
"Solomon Islands",19.9,18.8,0.6,2.5,NA,64.6,2172,4.5,68.2,1.4,143,"East Asia and the Pacific","Christianity"
"Sao Tome and Principe",19.3,17.8,0.2,2,NA,55.4,1864,4.7,64.9,0.3,144,"Sub-Saharan Africa","Christianity"
"Kenya",18.5,17.4,42.7,2.7,130,98.1,1541,7,57.7,62.7,145,"Sub-Saharan Africa","Christianity"
"Bangladesh",24.2,20.8,152.4,1.3,111,68.2,1785,4.8,69.2,236,146,"East Asia and the Pacific","Islam"
"Pakistan",21.7,19,180,1.8,123,28.1,2566,4.9,65.7,428.4,147,"Arab States","Islam"
"Angola",16.6,16.1,20.2,2.7,NA,148.1,4812,4.7,51.5,102,148,"Sub-Saharan Africa","Christianity"
"Myanmar",28.2,24.7,48.7,0.8,80,12,1817,3.9,65.7,NA,149,"East Asia and the Pacific","Buddhism"
"Cameroon",19.3,18.2,20.5,2.1,137,115.1,2114,5.9,52.1,41.9,150,"Sub-Saharan Africa","Christianity"
"Madagascar",18.2,17.4,21.9,2.8,NA,122.7,828,5.2,66.9,18.2,151,"Sub-Saharan Africa","Christianity"
"Tanzania (United Republic of)",17.5,17.4,47.7,3.1,119,128.7,1383,5.1,58.9,59.8,152,"Sub-Saharan Africa","Christianity"
"Nigeria",18.5,18.1,166.6,2.5,NA,111.3,2102,5.2,52.3,360.8,153,"Sub-Saharan Africa","Islam"
"Senegal",17.8,17,13.1,2.6,115,89.7,1653,4.5,59.6,22.2,154,"Sub-Saharan Africa","Islam"
"Mauritania",19.8,18.4,3.6,2.2,139,71.3,2174,3.7,58.9,8,155,"Arab States","Christianity"
"Papua New Guinea",20.4,19.6,7.2,2.2,134,62,2386,3.9,63.1,16.6,156,"East Asia and the Pacific","Christianity"
"Nepal",21.4,19.2,31,1.7,102,86.2,1137,3.2,69.1,33.6,157,"East Asia and the Pacific","Hinduism"
"Lesotho",20.3,18.6,2.2,1,113,60.8,1879,5.9,48.7,3.3,158,"Sub-Saharan Africa","Christianity"
"Togo",19.7,18,6.3,2,122,54.3,928,5.3,57.5,5.6,159,"Sub-Saharan Africa","Christianity"
"Yemen",17.4,15.5,25.6,3,148,66.1,1820,2.5,65.9,51.1,160,"Arab States","Islam"
"Haiti",21.5,19.1,10.3,1.3,127,41.3,1070,4.9,62.4,10.5,161,"Latin America and the Caribbean","Christianity"
"Uganda",15.7,15.6,35.6,3.1,110,126.4,1168,4.7,54.5,41,162,"Sub-Saharan Africa","Christianity"
"Zambia",16.7,17.1,13.9,3,136,138.5,1358,6.7,49.4,19.2,163,"Sub-Saharan Africa","Christianity"
"Djibouti",21.4,18.9,0.9,1.9,NA,19.5,2350,3.8,58.3,NA,164,"Arab States","Islam"
"Gambia",17.8,16.9,1.8,2.7,128,66.9,1731,2.8,58.8,3.3,165,"Arab States","Islam"
"Benin",17.9,17.1,9.4,2.7,135,97,1439,3.2,56.5,13,166,"Arab States","Christianity"
"Rwanda",18.7,16.9,11.3,2.9,76,35.5,1147,3.3,55.7,12,167,"Sub-Saharan Africa","Christianity"
"Côte d'Ivoire",19.2,18.7,20.6,2.2,138,105.7,1593,4.2,56,31.9,168,"Sub-Saharan Africa","Christianity"
"Comoros",18.9,18.5,0.8,2.5,NA,51.1,986,2.8,61.5,0.7,169,"Arab States","Islam"
"Malawi",16.9,17,15.9,3.2,124,105.6,774,4.2,54.8,12.4,170,"Sub-Saharan Africa","Christianity"
"Sudan",19.7,18.6,35,2.4,129,53,1848,3.1,61.8,83.8,171,"Arab States","Islam"
"Zimbabwe",19.3,18.2,13,2.2,116,53.4,424,7.2,52.7,NA,172,"Sub-Saharan Africa","Christianity"
"Ethiopia",18.7,17,86.5,2.1,NA,48.3,1017,2.2,59.7,83,173,"Sub-Saharan Africa","Christianity"
"Liberia",18.2,17.9,4.2,2.6,143,123,480,3.9,57.3,2.1,174,"Sub-Saharan Africa","Christianity"
"Afghanistan",16.6,15.9,33.4,3.1,147,99.6,1000,3.1,49.1,37.2,175,"Arab States","Islam"
"Guinea-Bissau",19,18.2,1.6,2.1,NA,96.2,1042,2.3,48.6,1.7,176,"Sub-Saharan Africa","Islam"
"Sierra Leone",18.4,18.5,6.1,2.1,139,104.2,881,3.3,48.1,4.6,177,"Sub-Saharan Africa","Islam"
"Burundi",20.2,16.7,8.7,1.9,98,20.9,544,2.7,50.9,4.6,178,"Sub-Saharan Africa","Christianity"
"Guinea",18.3,17.7,10.5,2.5,NA,133.7,941,1.6,54.5,10.1,179,"Sub-Saharan Africa","Islam"
"Central African Republic",19.4,18.7,4.6,2,142,98.6,722,3.5,49.1,3.2,180,"Sub-Saharan Africa","Christianity"
"Eritrea",19,17.1,5.6,2.9,NA,53.7,531,3.4,62,2.8,181,"Arab States","Christianity"
"Mali",16.3,16.3,16.3,3,141,168.9,853,2,51.9,15.3,182,"Arab States","Islam"
"Burkina Faso",17.1,16.5,17.5,3,131,117.4,1202,1.3,55.9,19.5,183,"Sub-Saharan Africa","Islam"
"Chad",17.1,16.9,11.8,2.6,NA,138.1,1258,1.5,49.9,15.5,184,"Arab States","Islam"
"Mozambique",17.8,17.9,24.5,2.2,125,124.4,906,1.2,50.7,20.6,185,"Sub-Saharan Africa","Christianity"
"Congo (Democratic Republic of the)",16.7,16,69.6,2.6,144,170.6,319,3.5,48.7,22.3,186,"Sub-Saharan Africa","Christianity"
"Niger",15.5,15.8,16.6,3.5,146,193.6,701,1.4,55.1,10.3,187,"Arab States","Islam"
"Korea (Democratic People's Rep. of)",32.9,29.9,24.6,0.4,NA,0.6,NA,NA,69,NA,188,"East Asia and the Pacific","Christianity"
"Marshall Islands",NA,NA,0.1,1.6,NA,37.7,NA,NA,72.3,NA,189,"East Asia and the Pacific","Christianity"
"Monaco",NA,NA,0,0,NA,1.5,NA,NA,82.3,NA,190,"Europe and Central Asia","Christianity"
"Nauru",NA,NA,0,0.6,NA,23,NA,NA,80,NA,191,"East Asia and the Pacific","Christianity"
"San Marino",NA,NA,0,0.6,NA,2.5,NA,NA,81.9,NA,192,"Europe and Central Asia","Christianity"
"Somalia",17.5,18,9.8,2.6,NA,68,NA,NA,51.5,NA,193,"Arab States","Islam"
"South Sudan",NA,NA,10.7,3.2,NA,NA,NA,NA,NA,NA,194,"Arab States","Islam"
"Tuvalu",NA,NA,0,0.2,NA,21.5,NA,NA,67.5,NA,195,"East Asia and the Pacific","Christianity"
